sentiment_label,customer_label
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,
负面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,
正面,负面
负面,负面
正面,
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,
正面,
负面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
负面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,正面
正面,
负面,
正面,
正面,
负面,
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,负面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,
负面,负面
正面,
正面,
正面,
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
负面,负面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,
负面,负面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
负面,正面
正面,
正面,正面
正面,
正面,正面
负面,负面
正面,
正面,正面
负面,负面
正面,
正面,正面
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
负面,负面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
负面,正面
正面,正面
正面,正面
正面,
负面,负面
正面,
正面,
正面,正面
正面,正面
正面,
正面,
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
负面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,负面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
正面,
正面,
负面,负面
负面,正面
正面,
负面,负面
负面,
正面,正面
正面,正面
正面,
负面,负面
负面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
负面,负面
正面,
正面,正面
正面,正面
正面,正面
正面,
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,
负面,
负面,正面
正面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
负面,正面
正面,正面
负面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
负面,
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
负面,负面
负面,负面
正面,正面
正面,
正面,
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,
正面,
负面,负面
正面,
正面,正面
负面,负面
正面,
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,
负面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,
负面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,负面
负面,正面
负面,负面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,正面
负面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,
正面,
正面,
正面,正面
正面,
正面,
正面,正面
正面,
负面,负面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,
正面,正面
负面,
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
负面,
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,
正面,
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
负面,负面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
正面,
正面,正面
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
负面,正面
正面,正面
负面,负面
正面,
正面,
正面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,
负面,
正面,正面
正面,正面
负面,正面
正面,正面
负面,负面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,
负面,正面
正面,正面
负面,
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,负面
正面,
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
负面,正面
正面,
负面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,
正面,
正面,正面
负面,正面
负面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
负面,正面
正面,
正面,负面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,正面
正面,正面
负面,正面
正面,
负面,负面
负面,
正面,正面
负面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
负面,负面
正面,
负面,负面
正面,负面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
负面,负面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
负面,负面
正面,正面
正面,正面
负面,
负面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
负面,
负面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,
负面,
正面,负面
负面,负面
正面,
正面,
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
正面,正面
正面,
负面,负面
负面,正面
正面,负面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,负面
负面,负面
负面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
负面,正面
正面,
正面,
正面,正面
负面,负面
正面,正面
负面,
正面,正面
负面,
负面,负面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,
负面,正面
正面,
正面,负面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
负面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,负面
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
负面,负面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,负面
正面,正面
负面,正面
正面,正面
正面,
负面,负面
正面,正面
正面,正面
负面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
负面,
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,正面
正面,正面
正面,正面
负面,正面
正面,
负面,正面
正面,正面
正面,
正面,
正面,
正面,正面
正面,正面
正面,
负面,负面
正面,正面
正面,负面
负面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
负面,正面
正面,负面
正面,正面
负面,
正面,正面
负面,负面
负面,负面
正面,负面
负面,正面
负面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,
正面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,
负面,负面
负面,负面
正面,
正面,
正面,
负面,负面
正面,正面
正面,正面
正面,负面
负面,负面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
负面,负面
正面,正面
负面,负面
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
负面,正面
负面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,
负面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
负面,负面
负面,负面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
负面,负面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,
负面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,
正面,正面
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
正面,
正面,
正面,正面
负面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
负面,负面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
负面,负面
负面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
负面,
负面,负面
负面,负面
负面,负面
正面,
负面,负面
负面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,负面
负面,负面
正面,正面
正面,
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
负面,负面
正面,
负面,正面
正面,正面
负面,负面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
负面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
负面,
负面,正面
负面,
负面,
负面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
负面,负面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
负面,负面
正面,
正面,
正面,
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,负面
正面,正面
负面,负面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
负面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,负面
正面,
正面,
正面,
正面,
负面,
正面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
负面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,正面
负面,
负面,负面
负面,负面
负面,负面
负面,负面
负面,正面
负面,负面
负面,负面
负面,正面
负面,负面
负面,
负面,负面
正面,
负面,
正面,正面
正面,正面
正面,
负面,负面
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,
负面,
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
负面,负面
负面,负面
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,
负面,负面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
负面,正面
正面,
正面,
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,
负面,
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,正面
负面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,
正面,正面
正面,
正面,正面
负面,负面
负面,正面
正面,正面
正面,正面
正面,
正面,
正面,
正面,正面
负面,负面
正面,正面
正面,
负面,负面
正面,
正面,正面
正面,正面
负面,负面
正面,负面
正面,正面
正面,正面
正面,正面
正面,负面
正面,正面
负面,负面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,
正面,正面
负面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,
负面,正面
正面,
正面,
正面,正面
正面,
负面,
正面,正面
负面,
负面,
负面,正面
正面,正面
负面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
负面,负面
负面,
正面,正面
正面,正面
正面,负面
正面,正面
正面,
负面,正面
正面,
正面,正面
正面,正面
正面,
正面,
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
负面,正面
正面,
正面,
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,正面
正面,正面
负面,负面
负面,正面
负面,负面
负面,负面
正面,正面
负面,
负面,负面
正面,
负面,
负面,
正面,正面
负面,负面
负面,负面
正面,
正面,正面
负面,负面
正面,
负面,正面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
负面,负面
负面,正面
正面,正面
正面,
正面,
负面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,
负面,
负面,负面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
负面,负面
正面,
正面,
负面,正面
正面,正面
正面,正面
正面,
负面,负面
正面,正面
负面,正面
正面,
负面,负面
正面,正面
正面,正面
负面,正面
正面,
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,负面
负面,正面
负面,
正面,正面
负面,负面
正面,正面
负面,正面
正面,正面
正面,
正面,正面
正面,
负面,负面
正面,
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,
负面,负面
正面,正面
正面,正面
正面,正面
正面,
正面,正面
正面,
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
负面,负面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
正面,正面
负面,负面
正面,正面
正面,正面
正面,
正面,正面
正面,正面
正面,正面
正面,
正面,
